Benchmark Program,Mutant,Explaination,Usage
cfg,v11/cfg_test.c,"No
","CompletionUsage(completion_tokens=5, prompt_tokens=901, total_tokens=906, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v18/cfg_test.c,"No
","CompletionUsage(completion_tokens=5, prompt_tokens=901, total_tokens=906, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v19/cfg_test.c,"No
","CompletionUsage(completion_tokens=5, prompt_tokens=901, total_tokens=906, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v10/cfg_test.c,"Yes
Line in mutant `void h(int a) { if (a >= -4) ... }` changes the condition from `a == -4` to `a >= -4`, altering control flow (which branch executes) for all `a` values other than `-4`.","CompletionUsage(completion_tokens=62, prompt_tokens=901, total_tokens=963, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v1/cfg_test.c,"Yes  
Mutant: in `f(int a)` the condition changed from `if (a > 13)` to `if (a >= 13)`, altering control flow for `a == 13` (mutant line with `if (a >= 13)`).","CompletionUsage(completion_tokens=60, prompt_tokens=901, total_tokens=961, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v7/cfg_test.c,"No
","CompletionUsage(completion_tokens=5, prompt_tokens=901, total_tokens=906, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v8/cfg_test.c,"No
","CompletionUsage(completion_tokens=5, prompt_tokens=903, total_tokens=908, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v12/cfg_test.c,"No — the only change is in `h()`’s `if (a == -4)` branch (mutant: both branches `printf(""\nnot -4\n"");`), which affects output only and not control flow or data.","CompletionUsage(completion_tokens=52, prompt_tokens=902, total_tokens=954, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v3/cfg_test.c,"No — the only change is in `f()` where the `printf` text differs (mutant `f`: both branches print the same), but control flow and all non-output side effects remain identical.","CompletionUsage(completion_tokens=44, prompt_tokens=902, total_tokens=946, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v16/cfg_test.c,"No
","CompletionUsage(completion_tokens=5, prompt_tokens=903, total_tokens=908, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v20/cfg_test.c,"No
","CompletionUsage(completion_tokens=5, prompt_tokens=903, total_tokens=908, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
quicksort,v3/quicksort.c,"Yes
Line in mutant `if(leftPointer > rightPointer) { break; }` changes the partition loop termination from `>=` to `>`, causing an extra swap when pointers are equal and potentially altering array contents/control flow.","CompletionUsage(completion_tokens=50, prompt_tokens=1149, total_tokens=1199, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
quicksort,v6/quicksort.c,"Yes
Line 1 (in `partition`): `while(rightPointer >= 0 && intArray[--rightPointer] > pivot)` can decrement `rightPointer` to `-1` and access `intArray[-1]`, unlike the original `rightPointer > 0` guard, causing different control flow/undefined behavior.","CompletionUsage(completion_tokens=72, prompt_tokens=1149, total_tokens=1221, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
quicksort,v1/quicksort.c,"Yes
Line in mutant `while(rightPointer >= 0 && intArray[--rightPointer] > pivot)` changes the loop bound from `> 0` to `>= 0`, allowing `rightPointer` to decrement to `-1` and potentially access `intArray[-1]` (undefined behavior) and altering partition control flow.","CompletionUsage(completion_tokens=74, prompt_tokens=1149, total_tokens=1223, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
quicksort,v2/quicksort.c,"Yes
Line 1 (mutant): in `partition`, the loop condition changes from `intArray[--rightPointer] > pivot` to `>= pivot`, altering partition behavior for elements equal to the pivot (can change swaps/partition point and thus recursion/data arrangement).","CompletionUsage(completion_tokens=59, prompt_tokens=1149, total_tokens=1208, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
quicksort,v4/quicksort.c,"No
","CompletionUsage(completion_tokens=5, prompt_tokens=1149, total_tokens=1154, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
quicksort,v5/quicksort.c,"Yes
Line in mutant `while(intArray[++leftPointer] < pivot-1)` changes the partition comparison from `< pivot` to `< pivot-1`, altering quicksort’s control flow and potentially the final ordering.","CompletionUsage(completion_tokens=47, prompt_tokens=1151, total_tokens=1198, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
merge2BSTree,v1/merge_2_bst.c,"Yes
Line 1 (mutant main): `rest=(p+q)-(min+max);` omits `+r`, changing `rest` and thus the constructed `root1` tree data/merge behavior.","CompletionUsage(completion_tokens=49, prompt_tokens=1888, total_tokens=1937, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
merge2BSTree,v2/merge_2_bst.c,"Yes
Line 1 (in `main`): `rest=(s+t)-(min+max);` omits `+u`, changing the computed `rest` value and thus the data stored in `root2` (affecting merge behavior beyond printf).","CompletionUsage(completion_tokens=57, prompt_tokens=1887, total_tokens=1944, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=1664))"
merge2BSTree,v6/merge_2_bst.c,"Yes
Mutant main(): `max= s > t ? (s > s? s : u) : (t > u ? t : u);` makes `(s > s)` always false, so when `s>t` it picks `u` instead of `max(s,u)`, changing `max`/tree values.","CompletionUsage(completion_tokens=73, prompt_tokens=1889, total_tokens=1962, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
merge2BSTree,v7/merge_2_bst.c,"Yes
Line in mutant `inorder()`: `inorder(root->right);` was changed to `inorder(root->left);`, breaking traversal (skips right subtree, repeats left) and can cause incorrect behavior/infinite recursion for certain trees.","CompletionUsage(completion_tokens=55, prompt_tokens=1889, total_tokens=1944, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
merge2BSTree,v4/merge_2_bst.c,"Yes
Line in mutant: in `merge()`, inside `if (current1->data < current2->data)` branch, `current1 = current1->left;` replaces `current1 = current1->right;`, changing traversal/control flow and merged result (not just printf).","CompletionUsage(completion_tokens=63, prompt_tokens=1889, total_tokens=1952, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
merge2BSTree,v3/merge_2_bst.c,"Yes
Mutant changes `current2 = current2->right;` to `current2 = current2->left;` in `merge()` else-branch, altering traversal/control flow and merged order (mutant: `else { ... current2 = current2->left; ... }`).","CompletionUsage(completion_tokens=63, prompt_tokens=1889, total_tokens=1952, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
merge2BSTree,v8/merge_2_bst.c,"Yes
Line in `merge`: condition changed from `if (current1->data < current2->data)` to `if (current1->data > current2->data)`, which alters which node is advanced/pushed and thus changes traversal/control flow and tree modifications (not just printf).","CompletionUsage(completion_tokens=63, prompt_tokens=1889, total_tokens=1952, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
merge2BSTree,v5/merge_2_bst.c,"Yes
Line in mutant: `min= p < q ? (p < r ? p : r) : (q < r ? r : r);` — when `p>=q` it forces `min=r` instead of `min=(q<r?q:r)`, changing tree values and subsequent merge behavior.","CompletionUsage(completion_tokens=69, prompt_tokens=1889, total_tokens=1958, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
elevator,v1/elevator.c,"Yes
Line 1 (mutant): `min()` always returns `b` (`if (a < b) return(b); else return(b);`), changing `floors_walked()` calculations and thus the optimization results.","CompletionUsage(completion_tokens=50, prompt_tokens=1531, total_tokens=1581, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
elevator,v8/elevator.c,"Yes
Mutant `floors_walked()` changes `nsteps += ...` to `nsteps -= ...` (line with `nsteps -= min(...)`), flipping the cost calculation and thus altering DP results and chosen stops.","CompletionUsage(completion_tokens=51, prompt_tokens=1531, total_tokens=1582, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
elevator,v2/elevator.c,"Yes
Line 1 (mutant): `min()` returns `a` in both branches (`else return(a);`) instead of returning the smaller of `a` and `b`, changing `floors_walked()` calculations and thus optimization results.","CompletionUsage(completion_tokens=54, prompt_tokens=1531, total_tokens=1585, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
elevator,v5/elevator.c,"Yes
Line in mutant `floors_walked`: `nsteps -= min(...)` instead of `nsteps += ...`, reversing the accumulated cost and changing optimization results/control flow.","CompletionUsage(completion_tokens=40, prompt_tokens=1531, total_tokens=1571, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=1408))"
elevator,v4/elevator.c,"Yes
Line in mutant `if (m[i][nstops] > m[laststop][nstops]) laststop = i;` reverses the comparison (was `<`), selecting the maximum-cost floor instead of the minimum, changing the returned `laststop` and subsequent behavior.","CompletionUsage(completion_tokens=61, prompt_tokens=1531, total_tokens=1592, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
elevator,v7/elevator.c,"Yes
- Mutant line 1: `min()` returns `-a` when `a < b` (instead of `a`), changing computed step counts in `floors_walked()` and thus altering optimization results and matrix values.","CompletionUsage(completion_tokens=53, prompt_tokens=1532, total_tokens=1585, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
elevator,v3/elevator.c,"Yes
Line in mutant `if (m[i][nstops] <= m[laststop][nstops]) laststop = i;` changes tie-breaking (chooses highest `i` on equal cost vs lowest), affecting returned `laststop` and subsequent path/cost selection.","CompletionUsage(completion_tokens=60, prompt_tokens=1531, total_tokens=1591, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
elevator,v6/elevator.c,"Yes
Line in mutant `if (m[i][nstops] < m[laststop][nstops]) laststop = i-1;` changes the selected `laststop` (off-by-one), affecting return value and subsequent matrix indexing/path reconstruction.","CompletionUsage(completion_tokens=55, prompt_tokens=1533, total_tokens=1588, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
nextDate1,v6/nextdate1.c,"Yes
offsetDays() switch uses `switch(m)` instead of `switch(m-1)` (mutant: `switch (m )`), changing the computed day-of-year offset for all months and thus altering date calculations.","CompletionUsage(completion_tokens=49, prompt_tokens=1748, total_tokens=1797, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
nextDate1,v10/nextdate1.c,"Yes
Line in mutant `revoffsetDays`: `if (offset < month[i]) break;` (was `<=`) changes month/day calculation when `offset` equals a month length, shifting boundary dates (e.g., offset 31 becomes day 0 of next month).","CompletionUsage(completion_tokens=61, prompt_tokens=1751, total_tokens=1812, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
nextDate1,v1/nextdate1.c,"Yes
Mutant `isLeap()` always returns 0 (first `return 0;` in `isLeap`), so leap years are never recognized, changing date validation and day-offset calculations.","CompletionUsage(completion_tokens=44, prompt_tokens=1751, total_tokens=1795, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
nextDate1,v8/nextdate1.c,"Yes
Mutant changes `revoffsetDays` month lengths (`int month[13] = { 0, 30, 28, ... }`), making January 30 days instead of 31, which yields incorrect date calculations.","CompletionUsage(completion_tokens=53, prompt_tokens=1751, total_tokens=1804, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
nextDate1,v9/nextdate1.c,"Yes
Mutant revoffsetDays(): `if (isLeap(y)) month[2] = 30;` (should be 29) changes date calculation for leap years, affecting returned d/m values.","CompletionUsage(completion_tokens=47, prompt_tokens=1751, total_tokens=1798, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
nextDate1,v7/nextdate1.c,"Yes
offsetDays(): in the switch, mutant `case 1: offset += 30;` (should be `31`) changes computed day offsets for months after January, affecting resulting dates.","CompletionUsage(completion_tokens=43, prompt_tokens=1751, total_tokens=1794, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
nextDate1,v14/nextdate1.c,"Yes
Line in mutant `else { x += remDays; ... }` changes logic from subtracting remaining days (`x -= remDays`) to adding them, producing incorrect date calculations when `x > remDays`.","CompletionUsage(completion_tokens=47, prompt_tokens=1751, total_tokens=1798, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
nextDate1,v13/nextdate1.c,"Yes
Mutant changes `offset2 = offset1 + x;` to `offset2 = offset1 - x;` inside `if (x <= remDays)` in `addDays`, altering the computed resulting date.","CompletionUsage(completion_tokens=49, prompt_tokens=1751, total_tokens=1800, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
nextDate1,v2/nextdate1.c,"Yes
Line 1 (mutant): `isLeap` always returns 1 (`return 1;` instead of `return 0;`), making every year treated as leap year and altering date validation and day-offset calculations.","CompletionUsage(completion_tokens=51, prompt_tokens=1751, total_tokens=1802, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
nextDate1,v5/nextdate1.c,"Yes  
Mutant changes `isValidDate` to `return 0;` for all months not in {2,4,6,9,11} (end of `isValidDate`), making dates in months 1,3,5,7,8,10,12 always invalid and preventing `addDays` from running.","CompletionUsage(completion_tokens=74, prompt_tokens=1751, total_tokens=1825, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
nextDate1,v3/nextdate1.c,"Yes
Line in mutant `if (d < 1 && d > 31) return 0;` is always false, so invalid days (e.g., 0 or 32) are no longer rejected, changing control flow and results.","CompletionUsage(completion_tokens=54, prompt_tokens=1751, total_tokens=1805, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
nextDate1,v11/nextdate1.c,"Yes
Line in mutant `revoffsetDays`: `offset = offset + month[i];` (should subtract) changes date calculation and can prevent correct loop termination, altering results/control flow.","CompletionUsage(completion_tokens=42, prompt_tokens=1751, total_tokens=1793, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
nextDate1,v4/nextdate1.c,"Yes
Line in mutant `isValidDate`: `else return !(d <= 28);` inverts the February non-leap-year validity check, making dates 1–28 invalid and 29–31 valid, changing control flow and results.","CompletionUsage(completion_tokens=54, prompt_tokens=1751, total_tokens=1805, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
nextDate1,v12/nextdate1.c,"Yes
Mutant changes `remDays` for non-leap years from `365-offset1` to `365-offset1+1` in `addDays` (mutant: `else { remDays=365-offset1+1; }`), altering the boundary for staying in the same year and thus the computed resulting date.","CompletionUsage(completion_tokens=71, prompt_tokens=1753, total_tokens=1824, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
Problem1,v6/Problem1.c,"Yes
The condition in `calculate_outputm3` was changed from `((input == 5) && cf==1)` to `((input == 5) || cf==1)`, making that branch execute for any input whenever `cf==1` (mutant: `if(((((input == 5) || cf==1 ) && a166 == 33) && a176 == 8))`).","CompletionUsage(completion_tokens=89, prompt_tokens=6999, total_tokens=7088, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
Problem1,v8/Problem1.c,"Yes
Mutant changes `calculate_outputm6` condition from `if ((a176==12 && ((input==2)&&cf==1)) && a166==33)` to `if ((a176==12 || ((input==2)&&cf==1)) && a166==33)`, making the transition execute for any input when `a176==12` (and even when `a176!=12` if `input==2`), altering state updates (`a166=36; a62=32; cf=0`).","CompletionUsage(completion_tokens=113, prompt_tokens=6999, total_tokens=7112, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
Problem1,v7/Problem1.c,"Yes  
Mutant changes `calculate_outputm3` condition from `(input == 4)` to `(input == 8)` (in `calculate_outputm3`, third `if`), making that transition unreachable for valid inputs and altering state updates (`a166=36; a62=33`) and control flow.","CompletionUsage(completion_tokens=68, prompt_tokens=6999, total_tokens=7067, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=3712))"
