Benchmark Program,Mutant,is Functionally different,Explaination,Usage
cfg,v5/cfg_test.c,Yes,"The condition in the `g` function was changed from `if (a == 7)` to `if (a >= 7)` in the mutated version, affecting the output when `a` is greater than 7","CompletionUsage(completion_tokens=48, prompt_tokens=837, total_tokens=885, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v11/cfg_test.c,Yes,"The condition in the `h` function was changed from `a == -4` to `a <= -4` in the mutated version, which affects the output when `a` is less than -4","CompletionUsage(completion_tokens=45, prompt_tokens=837, total_tokens=882, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v18/cfg_test.c,Yes,"The condition `if (a == 19)` in the source code is changed to `if (a <= 19)` in the mutated code (line 23 in the mutated version), which alters the output for values of `a` less than 19","CompletionUsage(completion_tokens=55, prompt_tokens=837, total_tokens=892, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v19/cfg_test.c,Yes,"The condition `if (a == 19)` in the original code is changed to `if (a >= 19)` in the mutated version (line 24 in the mutated code), which affects the output when `a` is greater than 19","CompletionUsage(completion_tokens=54, prompt_tokens=837, total_tokens=891, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v10/cfg_test.c,Yes,"The condition in the `h` function was changed from `a == -4` to `a >= -4` in the mutated version, affecting the output for values of `a` greater than -4","CompletionUsage(completion_tokens=45, prompt_tokens=837, total_tokens=882, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v1/cfg_test.c,Yes,"The condition in the function `f` was changed from `a > 13` to `a >= 13` in the mutated version, affecting the output when `a` is 13","CompletionUsage(completion_tokens=42, prompt_tokens=837, total_tokens=879, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v7/cfg_test.c,Yes,"The condition in the `g` function was changed from `a == 7` to `a == -7` (line 13 in the mutated version), which affects the output when `g` is called with these values","CompletionUsage(completion_tokens=49, prompt_tokens=837, total_tokens=886, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v8/cfg_test.c,Yes,"The mutated code has a change in the `g(int a)` function where the condition `if (a == 7)` always prints ""\nnot 7\n"" regardless of the value of `a` (line 13 in the mutated code)","CompletionUsage(completion_tokens=53, prompt_tokens=839, total_tokens=892, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v12/cfg_test.c,Yes,"The mutated version has a change in the `h(int a)` function where both branches of the if-else statement print ""\nnot -4\n"" (line 19 in the mutated code), which differs from the original code's behavior","CompletionUsage(completion_tokens=51, prompt_tokens=838, total_tokens=889, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v3/cfg_test.c,Yes,"The mutated version of the code has a change in the `f` function where both branches of the `if` statement print ""not greater than 13"" (line 8 in the mutated code), which differs from the original functionality","CompletionUsage(completion_tokens=50, prompt_tokens=838, total_tokens=888, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v16/cfg_test.c,Yes,"The mutated version has a change in the `i(int a)` function where it always prints ""not 100"" regardless of the value of `a`, unlike the original code","CompletionUsage(completion_tokens=38, prompt_tokens=839, total_tokens=877, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
cfg,v20/cfg_test.c,Yes,"The mutated code always prints ""not 19"" regardless of the value of `a` (line 21)","CompletionUsage(completion_tokens=25, prompt_tokens=839, total_tokens=864, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
quicksort,v3/quicksort.c,Yes,"The condition `if(leftPointer >= rightPointer)` in the original code is changed to `if(leftPointer > rightPointer)` in the mutated code (line 38 in the mutated version), which can affect the partitioning logic and result in different sorting behavior","CompletionUsage(completion_tokens=54, prompt_tokens=1085, total_tokens=1139, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
quicksort,v6/quicksort.c,Yes,"The condition in the second `while` loop of the `partition` function in the mutated code is `rightPointer >= 0` instead of `rightPointer > 0`, which can affect the behavior when `rightPointer` is `0`","CompletionUsage(completion_tokens=52, prompt_tokens=1085, total_tokens=1137, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
quicksort,v1/quicksort.c,Yes,"The condition in the second `while` loop of the `partition` function in the mutated code is `rightPointer >= 0` instead of `rightPointer > 0`, which can affect the sorting behavior when `rightPointer` is `0`","CompletionUsage(completion_tokens=53, prompt_tokens=1085, total_tokens=1138, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=1024))"
quicksort,v2/quicksort.c,Yes,"The condition in the second `while` loop of the `partition` function in the mutated code is `>=` instead of `>`, which affects the partitioning logic  (Line 38 in the mutated code)","CompletionUsage(completion_tokens=46, prompt_tokens=1085, total_tokens=1131, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
quicksort,v4/quicksort.c,No,,"CompletionUsage(completion_tokens=1, prompt_tokens=1085, total_tokens=1086, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
quicksort,v5/quicksort.c,Yes,"The mutated code has a functional difference due to the line `while(intArray[++leftPointer] < pivot-1)` in the `partition` function, which changes the pivot comparison logic","CompletionUsage(completion_tokens=40, prompt_tokens=1087, total_tokens=1127, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
elevator,v1/elevator.c,Yes,"The `min` function in the mutated version always returns `b`, which changes the behavior of the `floors_walked` function","CompletionUsage(completion_tokens=30, prompt_tokens=1467, total_tokens=1497, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
elevator,v8/elevator.c,Yes,"The line `nsteps -= min(stops[i]-previous, current-stops[i]);` in the mutated version (line 47) should be `nsteps += min(stops[i]-previous, current-stops[i]);` as in the original code","CompletionUsage(completion_tokens=55, prompt_tokens=1467, total_tokens=1522, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
elevator,v2/elevator.c,Yes,"The mutated version has a change in the `min` function (line 9), where it always returns `a`, which affects the calculation of `nsteps` in `floors_walked`","CompletionUsage(completion_tokens=42, prompt_tokens=1467, total_tokens=1509, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
elevator,v5/elevator.c,Yes,"The line `nsteps -= min(stops[i]-previous, current-stops[i]);` in the mutated version (line 47) uses subtraction instead of addition, which changes the behavior of the `floors_walked` function","CompletionUsage(completion_tokens=50, prompt_tokens=1467, total_tokens=1517, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=1408))"
elevator,v4/elevator.c,Yes,"The line `if (m[i][nstops] > m[laststop][nstops]) laststop = i;` in the mutated version (line 35) is different from the original, which uses `<`, causing the mutated version to find the floor with the maximum cost instead of the minimum","CompletionUsage(completion_tokens=63, prompt_tokens=1467, total_tokens=1530, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
elevator,v7/elevator.c,Yes,"The mutated version of the code has a functional difference due to the change in the `min` function, where `return(-a);` is used instead of `return(a);` when `a < b`  This affects the calculation of `nsteps` in the `floors_walked` function","CompletionUsage(completion_tokens=64, prompt_tokens=1468, total_tokens=1532, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
elevator,v3/elevator.c,Yes,"The condition in the loop at line 33 in the mutated version uses `<=` instead of `<`, which can result in a different `laststop` being selected when there are ties in the cost","CompletionUsage(completion_tokens=43, prompt_tokens=1467, total_tokens=1510, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
elevator,v6/elevator.c,Yes,"The mutated code has a functional difference at line 36, where `laststop = i-1;` instead of `laststop = i;`, which affects the final result of `optimize_floors()`","CompletionUsage(completion_tokens=47, prompt_tokens=1469, total_tokens=1516, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
nextDate1,v6/nextdate1.c,Yes,"The mutated code has a change in the `offsetDays` function where the `switch` statement uses `m` instead of `m - 1`, which affects the calculation of the offset for days in a year","CompletionUsage(completion_tokens=46, prompt_tokens=1684, total_tokens=1730, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
nextDate1,v10/nextdate1.c,Yes,The mutated code has a functional difference in the `revoffsetDays` function where the condition `if (offset < month[i])` (line 47 in the mutated version) should be `if (offset <= month[i])` as in the original code,"CompletionUsage(completion_tokens=56, prompt_tokens=1687, total_tokens=1743, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=1024))"
nextDate1,v1/nextdate1.c,Yes,"The mutated version's `isLeap` function always returns 0, causing it to incorrectly identify leap years (line 6 in the mutated code)","CompletionUsage(completion_tokens=32, prompt_tokens=1687, total_tokens=1719, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
nextDate1,v8/nextdate1.c,Yes,The mutated code has a functional difference in the `revoffsetDays` function where the `month` array incorrectly sets the number of days in January to 30 instead of 31 (line 34 in the mutated code),"CompletionUsage(completion_tokens=48, prompt_tokens=1687, total_tokens=1735, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=1152))"
nextDate1,v9/nextdate1.c,Yes,The mutated code has a functional difference in the `revoffsetDays` function where `month[2]` is set to 30 instead of 29 for leap years (line 38 in the mutated code),"CompletionUsage(completion_tokens=46, prompt_tokens=1687, total_tokens=1733, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=1152))"
nextDate1,v7/nextdate1.c,Yes,"The mutated code has a functional difference in the `offsetDays` function where `case 1` adds 30 days instead of 31, affecting the calculation for January","CompletionUsage(completion_tokens=37, prompt_tokens=1687, total_tokens=1724, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=1152))"
nextDate1,v14/nextdate1.c,Yes,"The mutated code has a change in the `addDays` function where `x += remDays;` is used instead of `x -= remDays;` (line 56 in the mutated code), which affects the calculation of the new date","CompletionUsage(completion_tokens=52, prompt_tokens=1687, total_tokens=1739, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
nextDate1,v13/nextdate1.c,Yes,The mutated code subtracts `x` from `offset1` instead of adding it in the `addDays` function (line 54 in the mutated code),"CompletionUsage(completion_tokens=35, prompt_tokens=1687, total_tokens=1722, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=1280))"
nextDate1,v2/nextdate1.c,Yes,"The mutated version of the code always returns 1 from the `isLeap` function (line 7), which means it incorrectly treats every year as a leap year","CompletionUsage(completion_tokens=36, prompt_tokens=1687, total_tokens=1723, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
nextDate1,v5/nextdate1.c,Yes,"The mutated version has a functional difference in the `isValidDate` function, where it returns `0` instead of `1` for valid dates in months with 31 days (line 23 in the mutated code)","CompletionUsage(completion_tokens=47, prompt_tokens=1687, total_tokens=1734, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=1024))"
nextDate1,v3/nextdate1.c,Yes,"The condition `if (d < 1 && d > 31)` in the mutated version (line 13) is incorrect and will always evaluate to false, allowing invalid dates to pass through","CompletionUsage(completion_tokens=42, prompt_tokens=1687, total_tokens=1729, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
nextDate1,v11/nextdate1.c,Yes,The mutated version has a functional difference in the `revoffsetDays` function where `offset = offset - month[i];` is changed to `offset = offset + month[i];` (line 47 in the mutated code),"CompletionUsage(completion_tokens=49, prompt_tokens=1687, total_tokens=1736, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=1280))"
nextDate1,v4/nextdate1.c,Yes,"The mutated code has a functional difference in the `isValidDate` function, where the condition for February in a non-leap year is incorrectly negated (`return !(d <= 28);` on line 17 in the mutated code)","CompletionUsage(completion_tokens=51, prompt_tokens=1687, total_tokens=1738, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
nextDate1,v12/nextdate1.c,Yes,"The mutated code has a functional difference on line 47, where `remDays=365-offset1+1;` instead of `remDays=365-offset1;`, affecting the calculation of remaining days in a non-leap year","CompletionUsage(completion_tokens=50, prompt_tokens=1689, total_tokens=1739, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=1280))"
merge2BSTree,v1/merge_2_bst.c,Yes,"The mutated code has a functional difference in the calculation of `rest` for `root1` (line 63 in the mutated version), where it uses `(p+q)-(min+max)` instead of `(p+q+r)-(min+max)`","CompletionUsage(completion_tokens=55, prompt_tokens=1824, total_tokens=1879, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
merge2BSTree,v2/merge_2_bst.c,Yes,"The mutated code has a functional difference on line 92, where `(s+t)-(min+max)` is used instead of `(s+t+u)-(min+max)`, affecting the value of `rest` for `root2`","CompletionUsage(completion_tokens=50, prompt_tokens=1823, total_tokens=1873, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=1536))"
merge2BSTree,v6/merge_2_bst.c,Yes,"The mutated code has a typo in the calculation of `max` for `root2` (line 66 in the mutated version), where `s > s` is used instead of `s > t`","CompletionUsage(completion_tokens=44, prompt_tokens=1825, total_tokens=1869, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=1664))"
merge2BSTree,v7/merge_2_bst.c,Yes,"The mutated version has a functional difference in the `inorder` function (line 34 in the mutated code), where it incorrectly calls `inorder(root->left)` twice instead of `inorder(root->right)` the second time","CompletionUsage(completion_tokens=51, prompt_tokens=1825, total_tokens=1876, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=1024))"
merge2BSTree,v4/merge_2_bst.c,Yes,The mutated version has a functional difference in the `merge` function where `current1 = current1->left;` is used instead of `current1 = current1->right;` on line 66,"CompletionUsage(completion_tokens=45, prompt_tokens=1825, total_tokens=1870, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=1408))"
merge2BSTree,v3/merge_2_bst.c,Yes,"The mutated code has a functional difference at line 78, where `current2 = current2->right;` is changed to `current2 = current2->left;`, affecting the traversal order","CompletionUsage(completion_tokens=43, prompt_tokens=1825, total_tokens=1868, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=1408))"
merge2BSTree,v8/merge_2_bst.c,Yes,"The functional difference is in the `merge` function where the comparison `current1->data < current2->data` in the original code (line 66) is changed to `current1->data > current2->data` in the mutated code (line 66), affecting the order of merged output","CompletionUsage(completion_tokens=65, prompt_tokens=1825, total_tokens=1890, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=1408))"
merge2BSTree,v5/merge_2_bst.c,Yes,"The mutated code has a change in the calculation of `min` for `root1` on line 61, which affects the tree structure","CompletionUsage(completion_tokens=31, prompt_tokens=1825, total_tokens=1856, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=1536))"
Problem1,v6/Problem1.c,Yes,"The condition in `calculate_outputm3` was changed from `((input == 5) && cf==1 )` to `(((input == 5) || cf==1 )` in the mutated version, which alters the logic","CompletionUsage(completion_tokens=51, prompt_tokens=6935, total_tokens=6986, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))"
Problem1,v8/Problem1.c,Yes,"In the mutated version, the condition in `calculate_outputm6` is changed from `a176 == 12 && ((input == 2) && cf==1 )` to `a176 == 12 || ((input == 2) && cf==1 )`, which alters the logic","CompletionUsage(completion_tokens=64, prompt_tokens=6935, total_tokens=6999, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=3968))"
